thread_id,customer_tweet_id,customer_text,customer_created_at,brand_tweet_id,brand_text,brand_created_at,has_further_customer_reply,response_latency_seconds
AmericanAir_2712051,2712052,Great view @americanair ORD Admirals Club tonight! https://t.co/cUG4z66vzw https://t.co/K0VMsjWCiX,Mon Nov 20 02:48:02 +0000 2017,2712051,@251020 Aren't our birds beautiful? Thanks for the pic.,Mon Nov 20 02:50:22 +0000 2017,False,140.0
AmericanAir_746946,746947,@AmericanAir poor attempt to board the plane on aa1962. Trying to bag tag in the jetway was like pulling teeth for passengers and employees,Wed Oct 11 16:44:38 +0000 2017,746946,@298566 A smooth easy boarding is always the plan. Our apology for any jetbridge confusion.,Wed Oct 11 16:48:38 +0000 2017,False,240.0
AmericanAir_1618117,1618118,"Hey @AmericanAir Ginger at MCO is AMAZING! Also, as always, thanks for breakfast! https://t.co/Sqor6Eu2WG",Sun Nov 05 14:28:12 +0000 2017,1618117,@496133 Ginger is #AAmazing. Thanks for the kudos. We'll be sure to pass that along to her and the rest of our #AATeam. Enjoy!,Sun Nov 05 14:38:23 +0000 2017,False,611.0
AmericanAir_1966466,1966467,@AmericanAir 6.,Wed Oct 18 17:28:04 +0000 2017,1966466,@582792 Please follow and DM your record locator and we'll make sure your Gold number is listed on your reservation.,Wed Oct 18 17:29:08 +0000 2017,False,64.0
AmericanAir_1826421,1826420,@AmericanAir Really want to go on this trip already paid for room!,Wed Oct 18 17:49:17 +0000 2017,1826421,@160010 Please DM your record locator and we can take a look.,Wed Oct 18 18:03:31 +0000 2017,False,854.0
AmericanAir_1701299,1701300,"@AmericanAir Missed her flight, they admit they told her the wrong gate but they told her to wait 16 hours until tomorrow to see if they can get her home",Sat Oct 28 22:50:12 +0000 2017,1701299,@515844 Please DM her record locator. We'd like to take a closer look.,Sat Oct 28 23:01:16 +0000 2017,False,664.0
AmericanAir_2360724,2360725,When is @AmericanAir going to learn &amp; start boarding 40 min prior like @Delta does? #late 🙄,Mon Nov 13 20:50:36 +0000 2017,2360724,"@681716 We board 30-50 min prior and always want the process to be seamless, Carrie. What's your flight number?",Mon Nov 13 20:54:56 +0000 2017,False,260.0
AmericanAir_2127685,2127686,@AmericanAir Love the legroom on this flight PDX to CLT AA1792. Thank you!  Wish there was USB connection,Wed Nov 08 19:03:33 +0000 2017,2127685,"@126150 Thanks for flying with us today, Melissa. We're working hard to include power on most planes. Take a peek: https://t.co/O6Fdx4Pk6T",Wed Nov 08 19:04:27 +0000 2017,False,54.0
AmericanAir_1889875,1889876,@AmericanAir why are you delaying flights from Las Vegas to Dallas?? #2289,Sun Oct 22 15:44:45 +0000 2017,1889875,@563592 We see that the delay is mechanical but there's been weather affecting the DFW area. Our crew will have you on your was as soon as possible.,Sun Oct 22 16:02:47 +0000 2017,False,1082.0
AmericanAir_1172140,1172141,Thank you @AmericanAir for picking up the pieces after @116450 dropped the ball this morning in Knoxville. Appreciate the service!,Sun Oct 15 15:11:08 +0000 2017,1172140,"@395707 We're glad to be able to help out, Todd. We appreciate you flying with us, today.",Sun Oct 15 15:36:02 +0000 2017,False,1494.0
AmericanAir_1298108,1298109,@AmericanAir Flight out of CLT to BHM pushed back 2+ hours with no explanation for delay? Help a guy out!,Thu Oct 26 22:02:14 +0000 2017,1298108,@423372 The incoming flight is delayed due to maintenance. You can keep an eye on both flights here: https://t.co/hSJ3SkyGEd,Thu Oct 26 22:32:03 +0000 2017,False,1789.0
AmericanAir_1814587,1814588,@AmericanAir why is flight 1442 from STL to DFW leaving tomorrow at 8AM already delayed?,Wed Oct 18 02:50:53 +0000 2017,1814587,"@545110 It's due to crew rest requirements. Since it's a short delay of 15 minutes, we should be able to make up the time in the air.",Wed Oct 18 02:52:46 +0000 2017,False,113.0
AmericanAir_234242,234243,Hey @AmericanAir  AA-1038 plane was broken and now my flight is delayed and I am upset and tweeting you about that but also why is it broken,Thu Oct 05 12:43:58 +0000 2017,234242,@171768 The flight is on a maintenance delay this morning. We appreciate your patience with the extra wait.,Thu Oct 05 12:57:40 +0000 2017,False,822.0
AmericanAir_1288470,1288471,"Hello, @AmericanAir. #DCA (@ Admirals Club in Arlington, VA) https://t.co/vZVyFf5FdU",Thu Oct 26 19:32:16 +0000 2017,1288470,"@185021 Hello, Marshall! Thanks for stopping by.",Thu Oct 26 19:34:02 +0000 2017,False,106.0
